address,Receive,Receive_USD,First_Receive_Date,Spend,Spend_USD,Last_Spend_Date,Balance,Balance_USD
1GNPkp7uwsX3Qjkin55XUzqvA336qWrUrd,2.02105639,92017.9384,12/29/2021,2.02105639,92017.9384,1/13/2022,0,0
1H1ikMaCZufnSi9JtNrjXsmFXrX7vnXWxL,0.31399589,13338.20121,1/27/2022,0.31399589,13437.45075,2/28/2022,0,-99.24954131
1HQtHHSy6xLxVV4WFPftP4gw7Y3SXKX9XK,0.314432,12068.41971,1/21/2022,0.314432,12068.41971,1/21/2022,0,0
1Ku1DThdjVYBcyi9XBzSkbNUR2tToUnvWv,1.09E-05,0.44314966,11/16/2021,5.46E-06,0.112468002,10/27/2022,5.46E-06,0.330681658
1LneUoKKnJTu5TeHJr4NSjqwkVSDMnfBtL,13.92552689,591486.6825,3/23/2022,13.92552689,591589.3927,5/4/2022,0,-102.7101856
1LtbNA6Z5cqpXNBMfrDXBZLKAzHnjm4D3H,0.27646011,11721.11897,3/16/2022,0.27646011,11719.04241,3/22/2022,0,2.076561655
1PDiveZsqWCYZGFB7PNnX9eUoRUWbu3gfw,2.71743376,92621.13931,9/3/2020,2.71743376,92959.97975,5/25/2022,0,-338.8404389
1PxKKnwm3ewocs49jFeVKvQafhF37vsZgj,23.40764761,965803.6519,3/23/2021,23.39024226,962226.4885,6/24/2023,0.01740535,3577.163424
3244JsJE7S6eNMCujYMZujeytwWy1Gczda,4.99254926,234050.025,8/9/2021,4.99254926,234027.9449,8/27/2021,0,22.08014455
32DKD6597uRPmmuHS9hcLR3Dp6RLnag9Az,3.94821258,206780.637,10/24/2021,3.94821258,206652.7483,12/23/2021,0,127.8886953
35QevSWr7U2Uk5ojHFRB1EF4XbKYSncAi3,13.94617516,552629.6513,1/25/2022,13.94617516,553096.9585,5/27/2022,0,-467.307205
368mJMVGK5mXroRE3m8coqtpAyBmdvCWSE,0.20569263,10543.11528,9/5/2021,0.20569263,10599.20941,11/5/2021,0,-56.09413359
36tiNWr7ZCTMYZKn3Syf9nXuzUngY5e1o2,4.63421638,189177.4662,1/25/2022,4.63421638,189483.4621,3/24/2022,0,-305.9959183
37EDRvoUcNhqbXyJ4ijmEayGX2xvCHPKyD,0.59935831,26290.42974,2/7/2022,0.59935831,26298.1328,2/12/2022,0,-7.703061359
37H9CHwq7s2xNkhfeETz8SEt6355G5oZDT,19.41666371,797129.6031,11/1/2021,19.41666371,792888.6468,5/11/2022,0,4240.956282
37cHmwodzTgULaVkjs7tzpTmV9zFtNY1AQ,1.83825218,96152.45298,11/8/2021,1.83825218,95475.09654,6/24/2022,0,677.35644
3AH6629rZRsujpSMFHuaAFjG4AY9wbk9px,3.00939087,137522.2189,9/22/2021,3.00939087,138567.1405,1/4/2022,0,-1044.921648
3BSzrAkf27rkVLFAscb24wNJ8i1K4gNB2M,0.51925898,22256.43202,10/9/2020,0.51925898,19964.4118,6/10/2022,0,2292.020225
