domain,parent_domain
chaohuanfe.com,chaohuanfe.com
hengxingfores.com,hengxingfores.com
merbokfx.com,merbokfx.com
ethzone.me,ethzone.me
h5.bmodyr.com,bmodyr.com
tokenplace.vip,tokenplace.vip
b.kineprotocol.org,kineprotocol.org
iatfxwelshi.com,iatfxwelshi.com
eth-bee.live,eth-bee.live
iteg.cc,iteg.cc
btx16.xyz,btx16.xyz
tomahawkfrx.com,tomahawkfrx.com
h5.aifeiglobal.com,aifeiglobal.com
ectradefx.com,ectradefx.com
gydglobal.com,gydglobal.com
swapuni.info,swapuni.info
keetticoin.com,keetticoin.com
d.z6g.buzz,z6g.buzz
rydervip.net,rydervip.net
ueexfx.com,ueexfx.com
bmodyr.com,bmodyr.com
bitmexcln.net,bitmexcln.net
agent.ottofxtrading.com,ottofxtrading.com
down.dawdop.com,dawdop.com
localcryptosfx.com,localcryptosfx.com
futuresleverage.com,futuresleverage.com
m.btcbox.app,btcbox.app
aomking.com,aomking.com
koinimcoin.com,koinimcoin.com
"supercapitalfx.com
https","supercapitalfx.com
https"
lumentrades.com,lumentrades.com
antenjoy.vip,antenjoy.vip
zebpayex.com,zebpayex.com
d.bitgetex.org,bitgetex.org
facoinplus.com,facoinplus.com
topethmine.com,topethmine.com
impusdt.com,impusdt.com
eth-miner.org,eth-miner.org
COINTOP.ONE,COINTOP.ONE
"alcvip.com
h5.hifly09826.top",hifly09826.top
roden-fx.com,roden-fx.com
acdx.centere.info,centere.info
eth-coin.me,eth-coin.me
symboldata.com,symboldata.com
indusgold.ltd,indusgold.ltd
coinintrex.com,coinintrex.com
1xforextrade.com,1xforextrade.com
kpcb77.com,kpcb77.com
zbgtan.com   www.zbgcenter.com      www.zbgmax.com ,zbgmax.com 
coinbene.beisanxianxinfang.com,beisanxianxinfang.com
bsxctdwgo.cc,bsxctdwgo.cc
coinzoomprotv.com,coinzoomprotv.com
bityardgto.cc,bityardgto.cc
h5.coindealrx.com,coindealrx.com
h5.coindealst.com,coindealst.com
